Repository Name,Total Size (bytes),.git Directory Size (bytes),Working Directory Size (bytes)
DwellClicker2,6654588,3363392,3291196
Grid,5230594643,4475520186,755074457
GridAutomation,194405510,94700950,99704560
LookToLearn,154655361,94501910,60153451
LookToRead,17366990,11563479,5803511
Pakora,54448218,51300972,3147246
SmartboxLink,12841951,7097297,5744654
Speech,12481927399,4503183796,7978743603
Web,971332185,696877007,274455178
CefSharp,26495,26495,0
EriskayLib,6651547,6102799,548748
Eyegaze,171844349,147543819,24300530
GaiaLib,1099261,509805,589456
GridPhone,27005970,19376304,7629666
Shared,870686639,563709863,306976776
Spinnaker,2006780,1948056,58724
Test project,2482672214,2482672051,163
Text,547957602,203302953,344654649
Zip,1728011,378930,1349081
GridResources,9678203096,6380738841,3297464255
LookToLearnResources,445123516,218884295,226239221
Symbols,26491,26491,0
altium-libraries,3622715947,1778066282,1844649665
altium-templates,10051307,5747982,4303325
awesome-smartbox,839981334,390242856,449738478
Battery Tester,47582647,21113574,26469073
ble_hid_demonstrator,13224370,13194122,30248
Cleveland Bay,46791,37161,9630
CYPRESS-GP10S-RPBV2-FIRMWARE,43128711,9922154,33206557
Eriskay,41726866,34005567,7721299
GridLink,42762,32918,9844
GridLink22,26495,26495,0
iPad_10033,19106183,8616761,10489422
JoyCable,45410480,21003283,24407197
KT0206-SDK,21269879,5502511,15767368
lake-firmware,689692076,492115730,197576346
LAKOTA-ELECTRONICS,74592836,37604328,36988508
Product Development Templates,29466,29281,185
ServusIR,61600946,6193179,55407767
TR10-HID-FIRMWARE,31823994,15381093,16442901
TR10-HID-TESTER,137311644,27870354,109441290
useful-adapter-boards,105004,40067,64937
VA1X-camera-usbc-prot,13231371,2862401,10368970
Valkyrie-drivers,3504854059,900617554,2604236505
valkyrie-hid-board,3967921,1219372,2748549
Published Inventory,14454359,10843828,3610531
Tools,1704459695,1190253194,514206501
WebcamSample,99195089,19587594,79607495
